<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,19/09/18,10:01,110590.0000000,111090.0000000,110590.0000000,111070.0000000,1196
SPFB.RTS-12.18,1,19/09/18,10:02,111070.0000000,111260.0000000,111040.0000000,111250.0000000,1022
SPFB.RTS-12.18,1,19/09/18,10:03,111280.0000000,111310.0000000,110940.0000000,111100.0000000,882
SPFB.RTS-12.18,1,19/09/18,10:04,111120.0000000,111200.0000000,111060.0000000,111200.0000000,289
SPFB.RTS-12.18,1,19/09/18,10:05,111190.0000000,111200.0000000,111130.0000000,111190.0000000,446
SPFB.RTS-12.18,1,19/09/18,10:06,111180.0000000,111250.0000000,111150.0000000,111200.0000000,467
SPFB.RTS-12.18,1,19/09/18,10:07,111190.0000000,111270.0000000,111190.0000000,111250.0000000,151
SPFB.RTS-12.18,1,19/09/18,10:08,111250.0000000,111400.0000000,111250.0000000,111370.0000000,817
SPFB.RTS-12.18,1,19/09/18,10:09,111370.0000000,111470.0000000,111340.0000000,111430.0000000,671
SPFB.RTS-12.18,1,19/09/18,10:10,111450.0000000,111500.0000000,111440.0000000,111480.0000000,491
SPFB.RTS-12.18,1,19/09/18,10:11,111470.0000000,111490.0000000,111380.0000000,111380.0000000,1165
SPFB.RTS-12.18,1,19/09/18,10:12,111380.0000000,111410.0000000,111340.0000000,111410.0000000,602
SPFB.RTS-12.18,1,19/09/18,10:13,111410.0000000,111410.0000000,111270.0000000,111310.0000000,487
SPFB.RTS-12.18,1,19/09/18,10:14,111320.0000000,111320.0000000,111260.0000000,111310.0000000,190
SPFB.RTS-12.18,1,19/09/18,10:15,111300.0000000,111410.0000000,111290.0000000,111400.0000000,207
SPFB.RTS-12.18,1,19/09/18,10:16,111410.0000000,111420.0000000,111300.0000000,111320.0000000,210
SPFB.RTS-12.18,1,19/09/18,10:17,111320.0000000,111330.0000000,111230.0000000,111300.0000000,523
SPFB.RTS-12.18,1,19/09/18,10:18,111300.0000000,111310.0000000,111210.0000000,111210.0000000,172
