date,type,value
19/09/18,open,111070.0000000
19/09/18,high,111260.0000000
19/09/18,low,111040.0000000
19/09/18,close,111250.0000000
19/09/18,open,111280.0000000
19/09/18,high,111310.0000000
19/09/18,low,110940.0000000
19/09/18,close,111100.0000000
19/09/18,open,111120.0000000
19/09/18,high,111200.0000000
19/09/18,low,111060.0000000
19/09/18,close,111200.0000000
19/09/18,open,111190.0000000
19/09/18,high,111200.0000000
19/09/18,low,111130.0000000
19/09/18,close,111190.0000000
19/09/18,open,111180.0000000
19/09/18,high,111250.0000000
19/09/18,low,111150.0000000
19/09/18,close,111200.0000000
19/09/18,open,111190.0000000
19/09/18,high,111270.0000000
19/09/18,low,111190.0000000
19/09/18,close,111250.0000000
19/09/18,open,111250.0000000
19/09/18,high,111400.0000000
19/09/18,low,111250.0000000
19/09/18,close,111370.0000000
19/09/18,open,111370.0000000
19/09/18,high,111470.0000000
19/09/18,low,111340.0000000
19/09/18,close,111430.0000000
19/09/18,open,111450.0000000
19/09/18,high,111500.0000000
19/09/18,low,111440.0000000
19/09/18,close,111480.0000000
19/09/18,open,111470.0000000
19/09/18,high,111490.0000000
19/09/18,low,111380.0000000
19/09/18,close,111380.0000000
19/09/18,open,111380.0000000
19/09/18,high,111410.0000000
19/09/18,low,111340.0000000
19/09/18,close,111410.0000000
19/09/18,open,111410.0000000
19/09/18,high,111410.0000000
19/09/18,low,111270.0000000
19/09/18,close,111310.0000000
19/09/18,open,111320.0000000
19/09/18,high,111320.0000000
19/09/18,low,111260.0000000
19/09/18,close,111310.0000000
19/09/18,open,111300.0000000
19/09/18,high,111410.0000000
19/09/18,low,111290.0000000
19/09/18,close,111400.0000000
19/09/18,open,111410.0000000
19/09/18,high,111420.0000000
19/09/18,low,111300.0000000
19/09/18,close,111320.0000000
19/09/18,open,111320.0000000
19/09/18,high,111330.0000000
19/09/18,low,111230.0000000
19/09/18,close,111300.0000000
19/09/18,open,111300.0000000
19/09/18,high,111310.0000000
19/09/18,low,111210.0000000
19/09/18,close,111210.0000000
19/09/18,open,111200.0000000
19/09/18,high,111230.0000000
19/09/18,low,111160.0000000
19/09/18,close,111230.0000000
19/09/18,open,111210.0000000
19/09/18,high,111220.0000000
19/09/18,low,111180.0000000
19/09/18,close,111190.0000000
19/09/18,open,111200.0000000
19/09/18,high,111310.0000000
19/09/18,low,111180.0000000
19/09/18,close,111310.0000000
19/09/18,open,111290.0000000
19/09/18,high,111310.0000000
19/09/18,low,111270.0000000
19/09/18,close,111300.0000000
19/09/18,open,111300.0000000
19/09/18,high,111440.0000000
19/09/18,low,111280.0000000
19/09/18,close,111410.0000000
19/09/18,open,111410.0000000
19/09/18,high,111460.0000000
19/09/18,low,111380.0000000
19/09/18,close,111400.0000000
19/09/18,open,111390.0000000
19/09/18,high,111410.0000000
19/09/18,low,111360.0000000
19/09/18,close,111400.0000000
19/09/18,open,111410.0000000
19/09/18,high,111410.0000000
19/09/18,low,111270.0000000
19/09/18,close,111280.0000000
19/09/18,open,111270.0000000
19/09/18,high,111270.0000000
19/09/18,low,111160.0000000
19/09/18,close,111170.0000000
19/09/18,open,111180.0000000
19/09/18,high,111210.0000000
19/09/18,low,111120.0000000
19/09/18,close,111210.0000000
19/09/18,open,111210.0000000
19/09/18,high,111300.0000000
19/09/18,low,111200.0000000
19/09/18,close,111270.0000000
19/09/18,open,111270.0000000
19/09/18,high,111310.0000000
19/09/18,low,111240.0000000
19/09/18,close,111300.0000000
19/09/18,open,111300.0000000
19/09/18,high,111300.0000000
19/09/18,low,111250.0000000
19/09/18,close,111260.0000000
19/09/18,open,111260.0000000
19/09/18,high,111360.0000000
19/09/18,low,111260.0000000
19/09/18,close,111350.0000000
19/09/18,open,111360.0000000
19/09/18,high,111390.0000000
19/09/18,low,111260.0000000
19/09/18,close,111280.0000000
19/09/18,open,111270.0000000
19/09/18,high,111290.0000000
19/09/18,low,111250.0000000
19/09/18,close,111250.0000000
19/09/18,open,111260.0000000
19/09/18,high,111270.0000000
19/09/18,low,111220.0000000
19/09/18,close,111240.0000000
19/09/18,open,111250.0000000
19/09/18,high,111270.0000000
19/09/18,low,111210.0000000
19/09/18,close,111270.0000000
19/09/18,open,111270.0000000
19/09/18,high,111320.0000000
19/09/18,low,111270.0000000
19/09/18,close,111310.0000000
19/09/18,open,111300.0000000
19/09/18,high,111320.0000000
19/09/18,low,111280.0000000
19/09/18,close,111280.0000000
19/09/18,open,111270.0000000
19/09/18,high,111290.0000000
19/09/18,low,111230.0000000
19/09/18,close,111250.0000000
19/09/18,open,111250.0000000
19/09/18,high,111260.0000000
19/09/18,low,111230.0000000
19/09/18,close,111260.0000000
19/09/18,open,111260.0000000
19/09/18,high,111260.0000000
19/09/18,low,111200.0000000
19/09/18,close,111210.0000000
19/09/18,open,111200.0000000
19/09/18,high,111200.0000000
19/09/18,low,111150.0000000
19/09/18,close,111190.0000000
19/09/18,open,111190.0000000
19/09/18,high,111210.0000000
19/09/18,low,111180.0000000
19/09/18,close,111190.0000000
19/09/18,open,111180.0000000
19/09/18,high,111200.0000000
19/09/18,low,111170.0000000
19/09/18,close,111170.0000000
19/09/18,open,111160.0000000
19/09/18,high,111230.0000000
19/09/18,low,111140.0000000
19/09/18,close,111230.0000000
19/09/18,open,111240.0000000
19/09/18,high,111240.0000000
19/09/18,low,111100.0000000
19/09/18,close,111190.0000000
19/09/18,open,111180.0000000
19/09/18,high,111220.0000000
19/09/18,low,111140.0000000
19/09/18,close,111140.0000000
19/09/18,open,111160.0000000
19/09/18,high,111220.0000000
19/09/18,low,111090.0000000
19/09/18,close,111170.0000000
19/09/18,open,111180.0000000
19/09/18,high,111220.0000000
19/09/18,low,111150.0000000
19/09/18,close,111190.0000000
19/09/18,open,111180.0000000
19/09/18,high,111180.0000000
19/09/18,low,111120.0000000
19/09/18,close,111170.0000000
19/09/18,open,111180.0000000
19/09/18,high,111180.0000000
19/09/18,low,111130.0000000
19/09/18,close,111150.0000000
19/09/18,open,111170.0000000
19/09/18,high,111180.0000000
19/09/18,low,111110.0000000
19/09/18,close,111130.0000000
19/09/18,open,111130.0000000
